,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
1,-0.19792461,-0.25123608,0.00069087744,-0.5010169,0.63903344,0.35778284,-0.28222197,0.012752727,-0.53077626,0.12111929,-0.54014206,-0.061477926,0.27032313,-0.26964664,0.11953789,0.23965912,0.2626259,-0.26860487,0.114234775,-0.3342768,-0.2858758,-0.16262957,-0.4051234,0.31187445,-0.3434043,0.071798265,0.24996899,0.37442598,-0.33287105,-0.22072315,0.13013148,-0.26560035
2,-0.35352007,-0.053232104,-0.25254077,-0.2987064,0.43994075,0.22878765,0.16701037,-0.17708263,-0.1888756,0.47419974,-0.3509965,-0.26049113,0.00570897,-0.037854925,0.123887755,-0.030074887,0.36454162,-0.0348673,0.032686025,-0.2912952,0.034973204,0.11853875,-0.16396731,0.13460721,-0.22947277,0.053580076,-0.1033168,0.31736743,-0.16919227,-0.1262553,0.22664802,-0.074887216
3,0.042038195,-0.24411406,0.11291577,0.13496272,0.21117255,0.14474906,-0.059721537,0.07827759,-0.3088734,0.114648595,0.03990698,-0.11822014,-0.034421824,-0.12484367,-0.14689033,0.16829622,-0.217838,0.007960036,0.030295402,-0.13630047,0.087604076,0.07604522,-0.25622338,0.0898774,-0.13596408,0.07716938,0.07940441,0.038205698,-0.10722582,0.20232819,0.1348097,-0.16465598
4,0.12563203,-0.18962649,-0.120884,0.016920742,-0.05146022,-0.07223566,0.13887092,0.0765069,-0.24764818,0.08942284,0.26630765,-0.1568074,0.14558119,0.052731954,0.024725094,0.037259877,-0.022555918,-0.038410045,0.06615029,-0.21761522,0.117403835,-0.04418063,-0.25130695,0.12401112,-0.026217148,0.16162127,0.17736721,0.22449335,-0.12835318,0.18073738,-0.06363404,0.055284303
5,0.017814286,-0.3072968,-0.04156241,0.06917654,0.25836015,0.3209124,0.099860415,0.0871527,-0.4013554,0.21161179,-0.10139918,0.009655617,0.050156042,-0.10352152,-0.076289296,0.05501432,-0.1672436,0.041006938,-0.0059162676,-0.19627246,0.2337745,-0.0147629175,-0.35691315,0.16217849,-0.062871054,0.07846235,0.18295231,0.004975288,0.015586598,0.34653944,0.031717613,-0.27276003
6,0.22451234,-0.32743287,0.3415919,0.09464185,0.40134892,-0.24239936,-0.2100892,0.45391873,-0.3038207,0.31151783,0.4941537,-0.06164463,-0.3556637,0.22187355,0.10920686,0.008347094,-0.11257674,-0.034789093,0.22546251,0.42963415,-0.071743116,-0.25198436,0.11779376,-0.0777226,-0.44167373,-0.23571518,0.3868632,0.42013177,-0.6030674,-0.23743546,0.016420096,-0.19806142
7,-0.015609741,-0.17858991,-0.08678812,-0.04051269,0.06390147,0.050280347,0.1264038,0.012232518,-0.17149429,0.20148322,0.05025149,-0.4342736,0.13366899,0.10096608,-0.05896041,-0.11809208,-0.13171819,0.032558635,0.20490813,-0.2976126,0.21053992,-0.22104025,-0.3718858,0.19595602,0.010026749,0.15943584,0.34959346,0.06794609,-0.10594668,0.3718031,-0.13983308,0.041963845
8,-0.014432743,-0.14242017,0.08305633,-0.2067363,0.0721015,-0.035843734,0.19696823,-0.1083782,-0.33563662,0.07536586,-0.10907349,-0.10713509,0.062294032,-0.018808525,0.09817155,0.09049113,0.16055465,0.18526402,0.040923685,-0.1555765,0.13415812,0.00021244586,-0.1257625,0.11300157,-0.10459714,0.058178477,-0.09370369,0.19886823,-0.18117028,-0.13362685,0.047680773,0.08932408
9,-0.06389631,-0.17773864,0.009302881,0.09368259,-0.0059265494,-0.09467313,0.17860068,-0.08064118,-0.20737115,0.3689564,-0.12243311,-0.17818215,-0.09040439,0.16035885,0.060133036,-0.17900535,0.033373207,-0.21799015,-0.15393677,0.004254058,0.29613334,-0.02246739,0.34417653,0.057000637,-0.15290073,-0.23634586,0.008670434,0.25287348,-0.3299945,0.06676419,0.25876257,-0.17027436
10,-0.3472885,-0.31914306,0.19850963,-0.1396933,0.31737348,0.04523824,-0.045719247,0.20399734,0.39211518,0.14771539,-0.5033201,-0.2713787,-0.7500589,-0.38999194,0.21293467,0.21872854,-0.32022375,0.10162011,-0.20621562,-0.062067166,0.76588905,-0.10824786,0.2925141,0.37217116,0.29293293,-0.15716197,0.06295,0.4957527,-0.31726015,0.07205377,0.39569002,-0.007275559
