emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
0.07204092,-0.13189377,0.15308432,-0.08705198,0.26219612,-0.15015611,0.059283018,0.09630238,0.17186517,-0.38508582,-0.13690281,0.0068770424,0.07691503,0.10378441,-0.03796411,-0.2072402,-0.17397127,0.0438684,-0.22169945,0.14627735,-0.008753549,-0.13207014,-0.097055584,0.07581365,-0.1587348,0.09516468,0.21505179,-0.06565389,-0.13182038,-0.041561674,-0.002258256,-0.15245879
-0.10373751,-0.24195954,0.22405623,-0.020940065,0.44059289,-0.32475802,0.074610814,-0.026599808,0.14547175,-0.18657513,-0.12220821,-0.13964319,0.22693616,0.17378974,-0.18081018,0.025842361,-0.26317647,-0.31425634,-0.2843666,0.113101475,-0.1347097,-0.11769493,-0.3323791,-0.27678022,0.1520171,-0.30306357,0.06163005,-0.40611973,-0.037439458,-0.05104044,0.44671708,0.02753
-0.008585535,-0.20654508,0.37460512,0.016306391,0.012792669,-0.2284508,0.08684429,0.0824967,0.064292185,-0.15848765,0.0705963,-0.019413419,-0.12910444,-0.26845923,0.113150135,-0.04783673,-0.3932358,-0.044735678,-0.07167005,0.14513113,-0.0507186,-0.015894547,0.13020279,-0.19754466,0.08875698,0.0029281154,0.30561605,0.058927096,-0.044413194,0.27222636,0.35566035,-0.1213851
0.04525912,-0.12781554,0.013372228,-0.020200418,0.0223498,-0.5597101,-0.056411862,0.10767801,0.2663806,-0.25905234,-0.081069425,-0.15803908,0.07268649,0.06194868,0.14652461,0.032946207,-0.30159897,-0.25522044,-0.13976693,0.21936347,0.01852271,0.027131787,0.08603383,0.032582738,0.03488949,0.05577627,0.0038061962,-0.25543076,0.03510458,-0.26192194,0.2486415,0.02853537
-0.010550078,-0.07743639,0.3649305,0.24571858,0.3231421,-0.6498029,0.11185059,0.07441433,0.2641384,-0.4751379,-0.2227625,-0.03801907,0.15053849,0.20312077,-0.034975015,-0.061895832,-0.23022364,-0.26412117,-0.14136429,0.007534735,0.26923102,0.13525331,-0.33318248,-0.26341486,-0.028156579,-0.28083506,-0.1766369,-0.23877765,-0.009177037,-0.2138044,0.26746565,-0.056602463
0.045260914,-0.10454379,0.07503833,-0.06240959,0.08980924,-0.31613678,0.117805526,-0.032709923,0.061555408,-0.26364738,-0.050922126,-0.1392315,0.04192542,0.073613115,-0.006112896,-0.006162286,-0.28280932,-0.114922024,-0.058638774,0.045794327,0.046412837,0.05850742,0.18401536,-0.28149912,-0.105659574,0.06132105,0.06750063,-0.17143206,0.045719318,-0.024203997,0.06671785,0.0016253255
0.14190812,-0.06770833,0.23284937,0.01987171,0.22851206,-0.12787408,0.17828585,-0.14529192,0.12664646,-0.100495175,-0.06542056,-0.113957316,0.13462485,-0.14416397,-0.044112034,-0.104721986,-0.086310014,-0.19063383,0.05742162,0.21490797,0.113129765,-0.047716945,0.12490119,-0.042349763,-0.019287735,-0.08044864,-0.0742871,-0.14684178,-0.009689756,0.09357482,0.13589421,-0.027914219
0.033662844,0.16057321,0.17634389,0.21157727,0.27671272,-0.29276413,-0.19455513,0.03144815,0.33394092,-0.54353786,-0.29853228,-0.04869347,0.1418619,0.25048614,-0.060714077,-0.18266067,-0.33239168,-0.109069854,-0.12843996,-0.15902276,0.05858616,-0.17435405,-0.2523546,0.07066559,-0.08865832,-0.29744142,0.3319317,-0.114798605,-0.13457717,-0.47696707,0.22214274,-0.025449254
0.18179663,-0.06681262,-0.10484118,-0.15438055,0.019837035,-0.40254444,-0.03433563,0.17610285,-0.05192422,-0.21781187,-0.059249975,-0.181879,0.024507098,0.060657986,-0.09563659,-0.03385261,-0.37036464,-0.37373257,0.014421914,0.1510733,0.21106058,0.04634343,0.16800427,-0.153372,0.037395686,0.19673125,0.15299314,-0.1767666,-0.14819124,0.09938296,0.18830313,-0.051733874
0.24735017,-0.111242294,0.20680615,-0.040573552,0.04025592,-0.49261248,-0.07099298,0.06600775,-0.04043072,-0.1995534,-0.02188804,-0.043736685,0.12962991,-0.037274577,-0.0464672,-0.043969527,-0.22927542,-0.1327264,-0.09972232,-0.058137424,0.09678075,-0.023236949,-0.041447163,-0.15908848,0.077775255,-0.07183943,0.12688854,-0.15730882,-0.064750895,-0.019424915,0.19801302,-0.28166956
