emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,target
-0.022695832,0.00013862923,0.25580043,0.1839343,0.2542138,-0.034989238,-0.15899654,-0.13361984,0.11312166,0.0353247,-0.02507152,0.004405113,0.107645005,0.088889085,0.089674115,-0.023938905,0.011343788,-0.13281229,-0.03262223,0.09320256,-0.14882222,-0.13445523,0.14784566,-0.008088712,-0.11482324,-0.10459505,0.3533168,-0.09943039,-0.0003773719,-0.0505078,-0.08727157,0.06279857,1
0.087723926,0.2473033,0.24875201,-0.17779419,0.092479244,-0.03659506,-0.5465114,-0.28860587,0.38725382,0.032073766,0.09682971,-0.13924217,0.17325588,-0.036329392,0.27809316,-0.20608675,-0.08756546,0.14634573,-0.102863505,-0.15909542,-0.38373744,-0.32518563,0.36332676,0.10382042,-0.30509317,-0.1316312,0.20588423,-0.19688657,-0.27540457,0.3294803,-0.10538973,-0.061837297,1
0.06602,-0.0112099275,0.15005973,-0.08787783,0.014384344,-0.006929934,-0.14607967,0.21762118,-0.15454876,0.21767075,0.12391966,0.07769556,-0.031551827,-0.043577284,0.4577704,0.063463375,-0.0050720684,0.098065995,0.13825549,-0.13351348,-0.20986499,-0.10504749,0.004075177,-0.12891322,-0.18432131,-0.314068,0.1703845,-0.1406139,0.20671521,0.13666901,0.088167205,-0.11413731,1
0.148046,0.098192036,0.12481556,-0.0033135284,0.05947765,-0.17102046,-0.10059539,-0.2771498,0.022957087,-0.13286886,0.13567066,-0.0033985004,0.06535555,0.061171465,0.1467935,-0.22759846,-0.14869066,0.11975061,0.024137123,0.106591314,-0.077777214,-0.028456945,0.22344242,0.10531945,0.12130465,-0.097220466,0.2320631,-0.31667817,-0.16586211,0.24237528,-0.08362407,-0.1900321,1
0.40366814,0.17107844,0.34076652,-0.08580649,0.027085975,-0.41236877,-0.23779821,-0.18201062,0.120553344,0.006305203,-0.032951593,0.06983788,0.2176024,-0.13014534,0.07396139,-0.08576296,-0.08896591,0.07803338,-0.07645157,-0.16455306,-0.22517449,-0.19574459,0.6109424,0.29298097,-0.19592921,-0.07601185,0.25923282,0.005846992,-0.43767905,0.22119598,0.1366325,0.024407985,1
-0.021071576,0.11361118,0.05220306,0.10921638,0.13357812,-0.061999753,-0.086706206,-0.115607396,-0.06644118,-0.07873534,0.15908572,-0.048721444,-0.066823006,0.005512733,0.24935475,-0.09748991,-0.08918421,0.12846774,-0.05638291,-0.06753712,-0.061178505,-0.0024538878,0.19799498,-0.0060189404,-0.019492466,-0.09545548,0.20079589,-0.016515285,-0.15522707,0.05223591,-0.0075179115,-0.1995375,1
0.044898815,0.06072266,0.030681241,-0.09659222,0.003648594,0.10866733,-0.34816045,0.015424401,-0.018013924,-0.050406784,-0.00042728335,-0.12453599,0.009675181,0.07819039,0.3171029,-0.028366972,-0.12824142,-0.095097356,-0.032061808,0.015272685,-0.045959495,-0.022421174,0.21272579,0.1834594,-0.0992915,-0.14064084,0.06603647,-0.060040727,-0.101971164,-0.046327084,0.01715539,-0.07038297,1
0.24866624,-0.07404556,0.6881282,0.13395765,0.2334473,-0.24147174,-0.29331636,-0.22984248,0.030741721,-0.12835759,0.15000358,0.0012974441,0.3307007,0.28508896,0.0098655,-0.2591249,-0.19983727,0.115985796,-0.07217766,-0.01821052,-0.10226998,-0.20627922,0.5116681,-0.19075942,-0.26942873,-0.13088337,0.23368675,-0.2122666,-0.017717555,0.1904051,-0.16893122,0.030736685,1
-0.15578753,-0.10285203,-0.13370638,-0.024739776,0.1599926,0.034923546,-0.15715016,-0.09699622,0.063927904,-0.09161846,-0.0033604503,-0.005836731,-0.016828226,-0.088789284,0.1493575,-0.09392478,0.023154542,0.2774074,-0.07762265,-0.017640527,-0.02953066,-0.14940184,0.16555655,0.04277105,0.09530074,-0.005039083,0.31140354,-0.1734872,0.10126411,-0.0012241751,-0.0015009623,-0.21376367,1
-0.0042393133,0.053456213,0.03904026,0.008329082,0.020732999,-0.18598092,-0.16417855,-0.010634795,0.052910052,0.025953531,-0.03614285,0.038101025,0.047447313,-0.005544752,0.2172291,-0.07315721,-0.0285431,0.17080623,0.079462044,-0.116362244,-0.073984504,-0.24481376,0.24029124,-0.0030500144,-0.17714703,-0.029041998,0.3647657,-0.22089577,-0.119784646,0.025837313,0.0029795738,0.029451225,1
-0.17968087,-0.08531463,0.085696995,-0.05251208,0.15693954,-0.07159175,-0.050212733,-0.30365238,-0.06392588,-0.18084118,-0.15770283,-0.09404021,-0.0519913,-0.08209611,0.37900978,-0.20165065,-0.114593506,0.363747,-0.017492488,-0.03950512,-0.33362624,-0.4281956,0.34224296,0.1314219,-0.42030734,-0.09816112,0.27816728,-0.4642523,0.046198655,-0.050188404,0.006021835,-0.012383167,1
-0.061764993,0.04026302,0.15692534,0.298011,0.23254348,-0.012920015,-0.17228812,-0.082950294,0.0871935,0.021246493,-0.104541376,0.05462006,0.095878944,0.16336465,0.098337516,-0.023456555,0.042622667,-0.056002468,-0.090285,0.1432718,-0.18269624,-0.096483804,0.15871602,-0.019685328,-0.0031132959,-0.15869623,0.38564306,-0.11111809,0.09266632,-0.08695735,0.0057897493,-0.037483215,1
-0.025033236,-0.21034697,0.33451438,-0.058415845,0.26831567,-0.29225093,-0.26752475,0.16400579,0.2592556,-0.1684565,-0.07629643,-0.30657393,-0.037068754,-0.12935331,0.23448539,-0.5455558,-0.035559766,0.25058556,-0.10671067,-0.16306946,-0.1732721,-0.09739308,0.51980054,0.24647045,-0.61463535,0.13954529,0.13080777,-0.5623301,0.10783298,0.2055726,0.17887758,-0.07962431,1
-0.14259191,-0.09700745,-0.024531223,0.025131932,0.0936167,-0.06680577,-0.08618885,-0.015233256,-0.003278762,-0.06715965,-0.12356356,0.121541746,0.02955284,0.066839226,0.23333843,-0.04649963,-0.071829796,0.19251409,-0.11326676,-0.001689218,-0.09718506,-0.18282889,0.15024452,-0.10266013,0.07499473,-0.03944083,0.2947497,-0.18306637,0.09904059,-0.0015797466,0.019079033,-0.13552836,1
0.050434224,0.17582777,0.17665783,0.04019241,0.1634421,-0.094593376,-0.17823002,-0.07744497,0.119435005,0.15064397,0.23793733,0.030607026,0.0858883,0.13023022,0.23786542,-0.30729637,-0.028884567,0.119297445,0.14363444,-0.06378388,-0.110236794,-0.054926153,0.41708806,0.019707493,-0.3681268,-0.16891216,0.23235139,-0.2821067,-0.15015452,0.29613382,0.08434988,-0.15620166,1
0.19471952,0.11711523,0.2258511,0.06929692,-0.040391505,0.02032639,-0.049239196,0.058112398,-0.15657662,0.11252282,0.07298383,-0.20282997,0.13707078,0.046318926,0.09223323,-0.054475866,-0.1005002,0.12723407,-0.12460288,-0.14448896,-0.12198573,0.036967687,0.1551466,0.0878904,-0.10814432,-0.13206267,0.22219071,-0.12697962,-0.16128007,0.25143445,0.0016620383,0.028253969,1
0.07328306,0.18890771,0.50831294,-0.22059508,0.012620181,-0.26195392,-0.3395601,-0.15638205,0.07919982,0.12367739,0.15722606,-0.05981992,0.13181217,0.07367732,0.14845192,-0.14266612,-0.07416242,0.022069,0.087525904,-0.025852878,-0.05194043,-0.22792058,0.48426032,-0.063738436,-0.33161777,-0.14015806,0.3751955,-0.14175105,-0.35427737,0.4458005,-0.060671926,-0.04511702,1
-0.079187244,0.12402342,0.10849332,-0.018486634,0.18769975,-0.021480113,-0.09471104,0.03256893,-0.006520748,0.03317254,0.08808498,-0.04692532,-0.0100984685,0.071327634,0.19975369,-0.13466299,-0.0009576827,0.15470469,0.07486421,0.043433875,-0.09272547,0.010974929,0.17951694,0.00023385137,-0.14848946,-0.08609587,0.18379894,-0.093162,-0.14496602,0.175912,-0.018973913,-0.08359059,1
